w,v
10.0,6.27849238
20.0,167.893379
30.0,167.881517
40.0,162.23892700000002
50.0,174.214505
60.0,165.212287
70.0,161.235024
80.0,172.904745
90.0,179.70068799999999
100.0,181.929079
110.0,179.07162300000002
120.0,176.541527
130.0,183.864333
140.0,176.64044900000002
150.0,179.27982
160.0,176.877327
170.0,181.08866400000002
180.0,177.174473
190.0,180.066702
200.0,182.573866
210.0,179.24458700000002
220.0,179.196734
230.0,181.152955
240.0,180.25059199999998
250.0,180.40036700000002
260.0,179.674894
270.0,190.01135499999998
280.0,192.59375
290.0,178.758983
300.0,182.515987
310.0,188.092875
320.0,186.18153800000002
330.0,179.258691
340.0,185.501062
350.0,175.888857
