w,v
10.0,174.111556
20.0,173.781826
30.0,182.986171
40.0,182.48059
50.0,180.825805
60.0,179.436407
70.0,182.28676099999998
80.0,192.273399
90.0,179.907785
100.0,180.440744
110.0,92.3945822
120.0,185.81286599999999
130.0,188.96195
140.0,194.77518999999998
150.0,191.983853
160.0,183.785355
170.0,188.931119
180.0,192.69677399999998
190.0,195.83682399999998
200.0,196.306473
210.0,197.903272
220.0,194.875162
230.0,196.584928
240.0,199.655402
250.0,192.734858
260.0,197.143916
270.0,193.43681099999998
280.0,201.57648
290.0,196.95614799999998
300.0,195.53889099999998
310.0,197.68229300000002
320.0,202.329168
330.0,189.933908
340.0,197.014476
350.0,198.99872
