w,v
10.0,171.778261
20.0,178.292417
30.0,176.32752
40.0,177.723322
50.0,185.162594
60.0,178.626597
70.0,180.607782
80.0,183.820376
90.0,185.180624
100.0,189.160044
110.0,187.950009
120.0,182.348177
130.0,194.214202
140.0,185.058114
150.0,197.09382
160.0,198.580856
170.0,196.857914
180.0,196.703271
190.0,199.926602
200.0,194.603421
210.0,193.67719499999998
220.0,204.549684
230.0,183.430657
240.0,201.054308
250.0,204.37456400000002
260.0,196.55703
270.0,198.493755
280.0,198.189199
290.0,196.878002
300.0,194.380283
310.0,197.762147
320.0,195.25215400000002
330.0,193.366234
340.0,198.80952299999998
350.0,196.387629
