w,v
10.0,147.791945
20.0,152.575186
30.0,158.837326
40.0,152.040681
50.0,162.489624
60.0,166.547355
70.0,159.080666
80.0,167.30176799999998
90.0,165.314431
100.0,167.191733
110.0,158.263982
120.0,163.740583
130.0,161.41335
140.0,169.00082
150.0,176.65007
160.0,163.458944
170.0,170.275232
180.0,166.305274
190.0,170.17989699999998
200.0,168.467197
210.0,172.524442
220.0,173.248475
230.0,181.89819400000002
240.0,173.867357
250.0,178.384838
260.0,176.18807999999999
270.0,184.82038500000002
280.0,173.82413599999998
290.0,175.929914
300.0,169.242997
310.0,5.9035812199999995
320.0,182.306434
330.0,175.640805
340.0,183.012098
350.0,157.245458
