w,v
10.0,180.054734
20.0,174.159163
30.0,177.985069
40.0,173.05814999999998
50.0,181.72667
60.0,179.886696
70.0,181.94254500000002
80.0,185.40537
90.0,184.19216899999998
100.0,186.456243
110.0,183.036455
120.0,180.97686
130.0,184.040639
140.0,189.738665
150.0,190.266145
160.0,194.768621
170.0,168.428886
180.0,190.759357
190.0,150.953297
200.0,193.85605999999999
210.0,198.355767
220.0,197.135952
230.0,197.936047
240.0,191.451506
250.0,197.123985
260.0,198.377212
270.0,198.812709
280.0,194.027419
290.0,201.903831
300.0,194.449752
310.0,191.121386
320.0,200.12179899999998
330.0,189.054069
340.0,196.68437
350.0,193.600518
