w,v
10.0,169.822655
20.0,172.742934
30.0,169.854622
40.0,182.704064
50.0,175.13464000000002
60.0,171.926162
70.0,180.317015
80.0,184.41096000000002
90.0,181.804288
100.0,180.636647
110.0,182.552545
120.0,179.170074
130.0,185.40317000000002
140.0,183.101899
150.0,187.592197
160.0,183.79011400000002
170.0,183.672072
180.0,183.707823
190.0,185.070122
200.0,185.75298600000002
210.0,185.966034
220.0,187.874658
230.0,186.796561
240.0,183.252801
250.0,191.95077799999999
260.0,190.034862
270.0,190.296855
280.0,192.570073
290.0,193.454903
300.0,193.612644
310.0,188.466133
320.0,195.778091
330.0,190.48437800000002
340.0,187.63295699999998
350.0,186.265278
