w,v
10.0,145.76694700000002
20.0,149.08359700000003
30.0,153.03172800000002
40.0,149.813165
50.0,157.590463
60.0,158.011077
70.0,155.03198700000002
80.0,156.892198
90.0,160.973756
100.0,159.300732
110.0,160.91734399999999
120.0,164.089831
130.0,161.717555
140.0,163.604834
150.0,155.266979
160.0,168.851394
170.0,169.605432
180.0,163.562337
190.0,167.869189
200.0,165.168944
210.0,170.924779
220.0,169.064989
230.0,172.849379
240.0,167.244657
250.0,170.65741500000001
260.0,174.157555
270.0,163.74188
280.0,172.09297800000002
290.0,169.413632
300.0,170.160764
310.0,7.74432232
320.0,166.54316899999998
330.0,164.648093
340.0,175.987159
350.0,162.13782600000002
