w,v
10.0,177.007349
20.0,169.058362
30.0,181.643012
40.0,173.179685
50.0,171.474813
60.0,180.570319
70.0,185.438239
80.0,184.61738
90.0,180.213761
100.0,185.434125
110.0,192.008438
120.0,184.598501
130.0,186.40621399999998
140.0,189.458395
150.0,190.366108
160.0,183.139563
170.0,186.529537
180.0,187.8345
190.0,185.041203
200.0,189.267907
210.0,188.754353
220.0,183.588049
230.0,200.025666
240.0,189.423796
250.0,190.240595
260.0,188.897012
270.0,194.57275800000002
280.0,190.06492799999998
290.0,191.614531
300.0,189.02482
310.0,184.262511
320.0,189.221058
330.0,193.48168600000002
340.0,191.47710800000002
350.0,195.68058
