w,v
10.0,175.59301
20.0,181.89791
30.0,184.51749900000002
40.0,180.197946
50.0,174.989359
60.0,182.642988
70.0,191.96965999999998
80.0,191.252632
90.0,195.093724
100.0,188.896864
110.0,193.07817999999997
120.0,195.436459
130.0,192.800828
140.0,192.695151
150.0,199.498033
160.0,189.563752
170.0,183.375455
180.0,192.710442
190.0,191.01059800000002
200.0,192.575553
210.0,202.40047
220.0,202.443916
230.0,202.48582100000002
240.0,198.703207
250.0,196.381741
260.0,201.276751
270.0,200.736616
280.0,198.230411
290.0,201.99387199999998
300.0,197.73881500000002
310.0,198.55660699999999
320.0,199.309359
330.0,7.30029295
340.0,194.540412
350.0,190.783671
