w,v
10.0,165.078362
20.0,175.32893199999998
30.0,174.16720999999998
40.0,176.63100300000002
50.0,174.614691
60.0,176.917506
70.0,177.163427
80.0,183.200219
90.0,182.00105399999998
100.0,178.12584
110.0,185.50311
120.0,172.03934700000002
130.0,185.009759
140.0,187.675573
150.0,180.811649
160.0,182.205039
170.0,183.65538800000002
180.0,179.048707
190.0,180.37268600000002
200.0,191.684566
210.0,192.508504
220.0,195.3142
230.0,189.63935600000002
240.0,188.271817
250.0,183.342113
260.0,190.39039699999998
270.0,191.08713999999998
280.0,197.22682
290.0,196.433695
300.0,193.17606700000002
310.0,195.685835
320.0,195.05159999999998
330.0,189.4836
340.0,193.128458
350.0,193.002471
