w,v
10.0,173.899248
20.0,178.92313900000002
30.0,186.082932
40.0,182.030368
50.0,184.63749800000002
60.0,183.941958
70.0,180.13921499999998
80.0,179.160504
90.0,187.16381
100.0,193.920975
110.0,189.553067
120.0,190.466404
130.0,194.26046599999998
140.0,192.261042
150.0,191.550649
160.0,190.49521099999998
170.0,188.661898
180.0,193.9106
190.0,194.95314299999998
200.0,190.27179999999998
210.0,195.827031
220.0,183.232033
230.0,198.751655
240.0,198.133777
250.0,195.925408
260.0,196.672927
270.0,196.175867
280.0,203.116683
290.0,201.16092899999998
300.0,201.40973400000001
310.0,198.546907
320.0,192.416253
330.0,195.756329
340.0,198.03475
350.0,195.89600900000002
