w,v
10.0,175.288378
20.0,188.916283
30.0,179.39988200000002
40.0,179.102351
50.0,183.822451
60.0,181.547865
70.0,186.081365
80.0,188.910785
90.0,187.53830399999998
100.0,183.310181
110.0,192.288862
120.0,183.55190299999998
130.0,197.902345
140.0,198.501566
150.0,196.479531
160.0,194.94592899999998
170.0,190.485266
180.0,195.36964600000002
190.0,197.161576
200.0,200.77262100000002
210.0,197.07481900000002
220.0,191.20866
230.0,198.501853
240.0,202.972346
250.0,200.94847199999998
260.0,198.80042
270.0,191.40992300000002
280.0,201.360162
290.0,205.64690099999999
300.0,191.138843
310.0,200.868703
320.0,199.179362
330.0,198.66979500000002
340.0,198.010433
350.0,198.55320500000002
