w,v
10.0,167.968269
20.0,165.085001
30.0,169.346314
40.0,167.841167
50.0,166.797385
60.0,165.123053
70.0,178.468695
80.0,169.94173500000002
90.0,174.698982
100.0,153.257971
110.0,150.81012199999998
120.0,181.687373
130.0,146.42011599999998
140.0,180.030904
150.0,179.708649
160.0,181.797957
170.0,182.17034800000002
180.0,183.955002
190.0,189.44786
200.0,180.857939
210.0,185.59804599999998
220.0,183.56875300000002
230.0,179.121874
240.0,182.72491699999998
250.0,189.656002
260.0,191.983541
270.0,190.678091
280.0,191.087067
290.0,189.44219900000002
300.0,131.84491200000002
310.0,193.257337
320.0,188.241352
330.0,186.37231300000002
340.0,183.30950800000002
350.0,177.606314
