w,v
10.0,175.292126
20.0,174.38031900000001
30.0,14.7158589
40.0,170.593941
50.0,170.718181
60.0,177.101201
70.0,179.49839
80.0,183.224901
90.0,184.420214
100.0,185.859249
110.0,186.94344800000002
120.0,189.600898
130.0,182.53348
140.0,182.7453
150.0,187.157489
160.0,188.510483
170.0,5.3729067299999995
180.0,186.28323799999998
190.0,184.710696
200.0,180.280734
210.0,196.28800199999998
220.0,187.82344600000002
230.0,191.708698
240.0,197.062027
250.0,188.476396
260.0,189.26156899999998
270.0,190.549788
280.0,191.677968
290.0,195.711789
300.0,196.706786
310.0,192.732806
320.0,188.917683
330.0,196.86297
340.0,197.28441999999998
350.0,193.89252000000002
