w,v
10.0,179.488125
20.0,183.64607999999998
30.0,181.33053700000002
40.0,182.711273
50.0,180.57815699999998
60.0,180.835733
70.0,184.321982
80.0,192.490337
90.0,183.738822
100.0,194.409969
110.0,190.74486800000003
120.0,181.95915100000002
130.0,192.611804
140.0,165.61580700000002
150.0,196.631641
160.0,191.398505
170.0,183.681343
180.0,194.32930100000002
190.0,196.00365
200.0,196.581867
210.0,195.81990299999998
220.0,185.52884799999998
230.0,193.873471
240.0,199.803132
250.0,187.530336
260.0,199.155267
270.0,194.61536099999998
280.0,202.640373
290.0,198.650951
300.0,200.700289
310.0,192.23701000000003
320.0,195.926906
330.0,193.82776900000002
340.0,189.538453
350.0,185.21560300000002
