w,v
10.0,165.236388
20.0,162.358127
30.0,162.34652899999998
40.0,159.087607
50.0,170.947082
60.0,161.84367699999999
70.0,170.546735
80.0,160.355381
90.0,167.007024
100.0,174.83046099999999
110.0,168.988467
120.0,175.143963
130.0,174.57342
140.0,175.984524
150.0,179.17086400000002
160.0,184.904492
170.0,171.96803899999998
180.0,175.582241
190.0,180.859987
200.0,185.149432
210.0,183.280012
220.0,177.55393999999998
230.0,186.577293
240.0,5.2006663799999995
250.0,185.492869
260.0,183.781891
270.0,179.741461
280.0,6.34025184
290.0,182.915644
300.0,184.789297
310.0,182.966622
320.0,176.467119
330.0,184.157831
340.0,178.195592
350.0,178.241207
