w,v
10.0,151.430414
20.0,159.30138699999998
30.0,158.654536
40.0,155.492973
50.0,164.459075
60.0,160.820531
70.0,163.375292
80.0,167.354094
90.0,161.122728
100.0,165.54922299999998
110.0,161.865321
120.0,164.185925
130.0,175.71198900000002
140.0,169.270434
150.0,173.800485
160.0,177.75043
170.0,171.45020399999999
180.0,175.010798
190.0,173.304976
200.0,166.71918699999998
210.0,176.233244
220.0,176.86175
230.0,182.02531199999999
240.0,171.493427
250.0,174.63697200000001
260.0,173.251885
270.0,7.29136985
280.0,181.95629499999998
290.0,177.48347
300.0,172.800914
310.0,175.18367800000001
320.0,90.0079045
330.0,174.165136
340.0,180.665676
350.0,177.685525
