w,v
10.0,171.02049599999998
20.0,172.666572
30.0,178.532354
40.0,182.774982
50.0,178.00417599999997
60.0,185.98805900000002
70.0,182.237221
80.0,182.262129
90.0,187.89566
100.0,180.409424
110.0,187.194118
120.0,189.474218
130.0,190.689484
140.0,193.69214000000002
150.0,182.09335900000002
160.0,188.234055
170.0,185.828182
180.0,183.841483
190.0,183.466837
200.0,191.006246
210.0,196.248937
220.0,191.626821
230.0,191.848776
240.0,189.67592299999998
250.0,187.616562
260.0,192.20418
270.0,187.88091300000002
280.0,192.03727700000002
290.0,192.277273
300.0,186.958323
310.0,187.17023899999998
320.0,194.89201
330.0,194.99113300000002
340.0,191.22183
350.0,187.39433
