w,v
10.0,148.789469
20.0,151.004581
30.0,151.73118599999998
40.0,153.00876399999999
50.0,156.85917
60.0,152.333912
70.0,157.276492
80.0,163.44834699999998
90.0,164.92627900000002
100.0,158.280813
110.0,160.713028
120.0,168.361804
130.0,160.78694
140.0,163.457978
150.0,166.073788
160.0,165.483976
170.0,168.475708
180.0,168.735101
190.0,170.505241
200.0,173.702896
210.0,174.014159
220.0,172.408243
230.0,169.321459
240.0,174.769559
250.0,178.309643
260.0,5.85912222
270.0,5.91723303
280.0,171.86253000000002
290.0,170.262548
300.0,180.876898
310.0,178.20863400000002
320.0,161.294918
330.0,7.977518439999999
340.0,173.006105
350.0,167.485703
