w,v
10.0,172.00314699999998
20.0,164.847308
30.0,16.076990600000002
40.0,168.72621199999998
50.0,169.474127
60.0,170.97436599999997
70.0,181.544421
80.0,179.78387800000002
90.0,180.53076900000002
100.0,179.079664
110.0,175.046145
120.0,177.153634
130.0,161.27234900000002
140.0,182.867982
150.0,182.766412
160.0,15.1104503
170.0,13.6926406
180.0,129.98531799999998
190.0,185.12025
200.0,186.486563
210.0,187.982234
220.0,188.251672
230.0,178.422558
240.0,190.81348500000001
250.0,188.93048000000002
260.0,190.357828
270.0,185.843783
280.0,189.979657
290.0,187.704645
300.0,188.645126
310.0,157.81197999999998
320.0,191.569032
330.0,183.270039
340.0,193.609499
350.0,189.186051
