w,v
10.0,172.584193
20.0,174.11295199999998
30.0,174.762811
40.0,173.559835
50.0,179.032028
60.0,179.026644
70.0,175.171677
80.0,182.32990600000002
90.0,180.58589999999998
100.0,177.49236199999999
110.0,187.006096
120.0,180.23256700000002
130.0,185.127181
140.0,183.18007
150.0,184.92080099999998
160.0,187.205235
170.0,181.20515500000002
180.0,191.47860699999998
190.0,188.246934
200.0,196.317869
210.0,191.275817
220.0,194.522481
230.0,189.178165
240.0,196.07002200000002
250.0,186.378399
260.0,188.328932
270.0,187.637116
280.0,178.18463500000001
290.0,7.40009093
300.0,182.261365
310.0,197.336731
320.0,187.48628200000002
330.0,187.801642
340.0,184.064909
350.0,177.394087
