w,v
10.0,177.52425
20.0,176.24790900000002
30.0,177.33607800000001
40.0,181.428662
50.0,174.346446
60.0,188.992189
70.0,180.93256399999999
80.0,184.369908
90.0,188.889156
100.0,193.91170499999998
110.0,185.328725
120.0,189.880166
130.0,189.35617900000003
140.0,197.307153
150.0,197.017678
160.0,192.15921799999998
170.0,193.72441700000002
180.0,197.231594
190.0,195.487773
200.0,194.569257
210.0,201.25458500000002
220.0,196.04648899999998
230.0,199.319841
240.0,199.318524
250.0,199.392768
260.0,200.448173
270.0,199.416839
280.0,204.845771
290.0,195.913657
300.0,193.526706
310.0,197.681621
320.0,204.64569699999998
330.0,194.232499
340.0,200.18055700000002
350.0,200.65828499999998
