w,v
10.0,173.97937
20.0,174.951682
30.0,176.898989
40.0,176.60366199999999
50.0,172.861438
60.0,181.338798
70.0,176.991524
80.0,178.090151
90.0,182.523722
100.0,183.906186
110.0,186.260816
120.0,181.59596
130.0,190.853178
140.0,189.199241
150.0,185.445339
160.0,194.22108
170.0,190.23892
180.0,192.54857
190.0,191.60755500000002
200.0,194.72328
210.0,191.980387
220.0,198.830162
230.0,4.9028475
240.0,8.43193999
250.0,195.006379
260.0,192.542372
270.0,185.429566
280.0,189.25714699999997
290.0,199.281466
300.0,194.8695
310.0,200.669476
320.0,196.47323799999998
330.0,192.55173
340.0,195.176276
350.0,7.99566143
