w,v
10.0,257.314377
20.0,268.34815699999996
30.0,267.14531800000003
40.0,276.065715
50.0,288.27088000000003
60.0,301.539953
70.0,288.332397
80.0,295.232261
90.0,303.097691
100.0,315.567922
110.0,320.44883000000004
120.0,325.43063700000005
130.0,337.402473
140.0,342.168064
150.0,350.25241600000004
160.0,347.728024
170.0,353.719128
180.0,341.333575
190.0,355.077879
200.0,357.52221299999997
210.0,360.506366
220.0,357.638062
230.0,364.713621
240.0,357.282213
250.0,358.547435
260.0,335.029152
270.0,346.846701
280.0,337.924262
290.0,319.295741
300.0,324.64633100000003
310.0,318.35678
320.0,314.815597
330.0,313.337159
340.0,305.65488
350.0,303.627171
