w,v
10.0,268.293757
20.0,270.548519
30.0,278.82631200000003
40.0,257.364792
50.0,291.71163
60.0,285.455181
70.0,302.261667
80.0,317.76157900000004
90.0,335.57725500000004
100.0,346.92583
110.0,341.089918
120.0,356.678824
130.0,349.380371
140.0,354.461353
150.0,363.97195700000003
160.0,364.39439899999996
170.0,351.897068
180.0,364.087905
190.0,346.683183
200.0,363.51722400000006
210.0,183.858989
220.0,357.263084
230.0,351.719224
240.0,344.999034
250.0,357.488758
260.0,355.260378
270.0,341.04713599999997
280.0,342.72738200000003
290.0,330.965844
300.0,329.751913
310.0,333.126304
320.0,327.37082200000003
330.0,318.726429
340.0,325.760021
350.0,302.145917
