w,v
10.0,167.846792
20.0,233.987493
30.0,179.322498
40.0,238.12482400000002
50.0,244.38463199999998
60.0,247.77554099999998
70.0,258.057082
80.0,270.64951199999996
90.0,279.890128
100.0,296.783354
110.0,283.382457
120.0,267.982838
130.0,142.99657399999998
140.0,284.039067
150.0,318.886313
160.0,311.625388
170.0,315.447713
180.0,214.811575
190.0,306.383866
200.0,329.257545
210.0,301.716987
220.0,322.646117
230.0,316.02160899999996
240.0,318.761553
250.0,318.759554
260.0,150.621284
270.0,304.568353
280.0,294.69349700000004
290.0,308.320165
300.0,290.479132
310.0,300.498058
320.0,309.64996299999996
330.0,291.936949
340.0,302.453401
350.0,296.107017
