w,v
10.0,223.207595
20.0,119.504519
30.0,237.505665
40.0,171.778871
50.0,255.797552
60.0,256.869327
70.0,262.778932
80.0,268.852058
90.0,278.82613899999996
100.0,274.77376300000003
110.0,286.562432
120.0,288.38137600000005
130.0,295.520844
140.0,284.448513
150.0,295.98206100000004
160.0,309.343033
170.0,310.277239
180.0,313.06958000000003
190.0,311.32031
200.0,307.146971
210.0,309.605206
220.0,305.974916
230.0,311.422669
240.0,323.454864
250.0,308.75766999999996
260.0,302.278409
270.0,306.783436
280.0,292.83969199999996
290.0,289.781429
300.0,286.42908500000004
310.0,275.47785600000003
320.0,280.517969
330.0,291.424664
340.0,271.741616
350.0,272.531467
