w,v
10.0,254.327419
20.0,259.501827
30.0,260.44336
40.0,271.064387
50.0,276.286929
60.0,288.020484
70.0,285.92976799999997
80.0,305.812549
90.0,306.639877
100.0,311.436645
110.0,334.835413
120.0,353.613968
130.0,342.544593
140.0,367.542463
150.0,361.278334
160.0,350.098433
170.0,361.888887
180.0,341.81090400000005
190.0,349.778484
200.0,335.111304
210.0,347.089956
220.0,345.385269
230.0,326.577848
240.0,332.86684
250.0,337.65664899999996
260.0,330.392298
270.0,358.99269
280.0,344.69399699999997
290.0,333.19186
300.0,328.261845
310.0,335.297964
320.0,323.212428
330.0,342.366359
340.0,336.24934099999996
350.0,308.89318399999996
