w,v
10.0,229.227582
20.0,241.64718900000003
30.0,234.67678999999998
40.0,128.122159
50.0,251.77850800000002
60.0,252.557973
70.0,268.196981
80.0,263.81946800000003
90.0,299.56975
100.0,291.344824
110.0,261.122795
120.0,302.767953
130.0,176.97427800000003
140.0,167.128026
150.0,253.14227500000004
160.0,307.779139
170.0,169.150103
180.0,119.64684
190.0,331.327987
200.0,333.79943000000003
210.0,302.070757
220.0,333.195692
230.0,335.26879599999995
240.0,331.725343
250.0,318.053148
260.0,321.653705
270.0,316.44411099999996
280.0,320.134654
290.0,312.963589
300.0,325.351701
310.0,318.107535
320.0,302.141653
330.0,307.243892
340.0,306.205212
350.0,303.83051700000004
