w,v
10.0,220.948974
20.0,235.627668
30.0,241.27983799999998
40.0,125.78028799999998
50.0,254.54653199999998
60.0,261.751541
70.0,260.545417
80.0,282.407283
90.0,282.84256400000004
100.0,303.32329400000003
110.0,317.760753
120.0,323.978934
130.0,283.426633
140.0,247.209528
150.0,283.282415
160.0,344.93075600000003
170.0,313.792254
180.0,330.856241
190.0,329.81294
200.0,327.28918200000004
210.0,331.648324
220.0,331.597824
230.0,331.277007
240.0,325.813227
250.0,337.555386
260.0,321.636857
270.0,318.462788
280.0,324.359511
290.0,322.430773
300.0,326.92391399999997
310.0,326.999774
320.0,320.188648
330.0,315.424079
340.0,314.00349700000004
350.0,157.74121599999998
