w,v
10.0,4.12495602
20.0,112.354324
30.0,147.659741
40.0,217.123179
50.0,118.050914
60.0,125.98574100000002
70.0,241.25933799999999
80.0,242.68373200000002
90.0,247.068928
100.0,246.871575
110.0,253.69030399999997
120.0,260.046871
130.0,260.42812599999996
140.0,262.784112
150.0,261.76910300000003
160.0,251.864702
170.0,275.521053
180.0,265.16204
190.0,279.033199
200.0,275.004972
210.0,263.094227
220.0,258.518518
230.0,272.413238
240.0,274.141553
250.0,273.398193
260.0,263.545937
270.0,136.018428
280.0,264.71103899999997
290.0,263.442001
300.0,263.47027899999995
310.0,264.525246
320.0,261.71936600000004
330.0,250.85899799999999
340.0,214.653238
350.0,230.90370900000002
