w,v
10.0,248.27654199999998
20.0,259.432026
30.0,258.065869
40.0,260.487239
50.0,273.304566
60.0,278.067821
70.0,287.778689
80.0,290.686078
90.0,297.99323300000003
100.0,302.533272
110.0,310.385098
120.0,314.335682
130.0,324.49244300000004
140.0,322.78758899999997
150.0,334.989307
160.0,329.620157
170.0,327.180066
180.0,339.51673
190.0,338.07033199999995
200.0,344.026163
210.0,346.648771
220.0,345.478839
230.0,341.551047
240.0,339.351361
250.0,343.315986
260.0,327.363151
270.0,334.990772
280.0,327.197112
290.0,330.213806
300.0,320.033536
310.0,320.321476
320.0,307.149082
330.0,295.20133300000003
340.0,307.50613999999996
350.0,154.05761900000002
