w,v
10.0,252.990322
20.0,270.713435
30.0,272.286868
40.0,291.06882099999996
50.0,305.41483000000005
60.0,295.960826
70.0,330.925192
80.0,355.714369
90.0,330.473284
100.0,325.126798
110.0,333.77645
120.0,360.220525
130.0,352.124326
140.0,184.423212
150.0,362.346024
160.0,349.484083
170.0,344.881996
180.0,351.647338
190.0,345.154813
200.0,346.829949
210.0,352.09069999999997
220.0,346.067974
230.0,342.671765
240.0,341.094556
250.0,333.839253
260.0,348.17740299999997
270.0,337.577572
280.0,348.641255
290.0,340.781972
300.0,342.975164
310.0,344.678663
320.0,350.527398
330.0,350.103653
340.0,346.78790100000003
350.0,326.207541
