w,v
10.0,218.58348
20.0,232.095005
30.0,228.75779500000002
40.0,242.36411099999998
50.0,248.055197
60.0,245.877534
70.0,257.263711
80.0,262.171714
90.0,263.046259
100.0,279.659735
110.0,273.440264
120.0,281.81545800000004
130.0,291.793394
140.0,291.17848299999997
150.0,293.80592900000005
160.0,297.464712
170.0,295.274446
180.0,296.313728
190.0,298.982114
200.0,294.757983
210.0,301.239934
220.0,295.559017
230.0,298.027396
240.0,292.611842
250.0,296.01561599999997
260.0,290.359086
270.0,296.73601
280.0,289.202027
290.0,284.679606
300.0,284.537937
310.0,275.727676
320.0,276.099156
330.0,277.423964
340.0,271.99287100000004
350.0,268.520512
