w,v
10.0,262.277741
20.0,271.069379
30.0,271.707247
40.0,286.86424500000004
50.0,294.316197
60.0,300.916609
70.0,326.697327
80.0,330.522455
90.0,330.015546
100.0,330.271371
110.0,331.793882
120.0,350.043412
130.0,338.750066
140.0,355.263909
150.0,344.50658899999996
160.0,355.092304
170.0,362.237443
180.0,352.979544
190.0,348.02749900000003
200.0,358.682634
210.0,349.252124
220.0,291.962399
230.0,350.119389
240.0,349.038536
250.0,368.995236
260.0,357.453937
270.0,341.377356
280.0,342.72407300000003
290.0,349.104203
300.0,351.152311
310.0,361.845275
320.0,357.877375
330.0,348.75100599999996
340.0,337.484652
350.0,344.677074
