w,v
10.0,215.114739
20.0,218.484551
30.0,227.722118
40.0,231.587073
50.0,236.832456
60.0,242.058842
70.0,247.163557
80.0,263.38113899999996
90.0,258.13345799999996
100.0,270.515984
110.0,268.756957
120.0,268.73042200000003
130.0,253.16412100000002
140.0,286.091434
150.0,286.670229
160.0,283.678922
170.0,293.070413
180.0,290.554608
190.0,286.905906
200.0,286.278871
210.0,280.13542
220.0,289.457378
230.0,286.35325900000004
240.0,288.804412
250.0,279.182391
260.0,283.69129999999996
270.0,284.965608
280.0,278.141617
290.0,279.079401
300.0,283.509872
310.0,266.334181
320.0,270.182517
330.0,266.520834
340.0,254.19939600000004
350.0,219.95563800000002
