w,v
10.0,272.00750600000003
20.0,266.339377
30.0,278.40755099999996
40.0,279.854763
50.0,289.547273
60.0,297.051958
70.0,288.698091
80.0,317.582811
90.0,320.553209
100.0,349.895255
110.0,359.635547
120.0,328.894827
130.0,360.71495500000003
140.0,366.046088
150.0,361.334502
160.0,339.02916700000003
170.0,349.19433300000003
180.0,349.200087
190.0,351.258096
200.0,348.732935
210.0,337.081901
220.0,346.208551
230.0,340.11316400000004
240.0,343.505527
250.0,348.67844599999995
260.0,341.564858
270.0,341.75948999999997
280.0,337.310072
290.0,356.19516
300.0,333.661902
310.0,329.034047
320.0,342.309346
330.0,348.02785800000004
340.0,339.631396
350.0,334.69558
