w,v
10.0,230.44199700000001
20.0,266.03550199999995
30.0,277.57457
40.0,281.088884
50.0,286.798157
60.0,291.623556
70.0,300.89619
80.0,302.084831
90.0,309.498336
100.0,325.844609
110.0,331.269322
120.0,329.13442599999996
130.0,341.200944
140.0,346.512229
150.0,345.509169
160.0,360.401678
170.0,358.430885
180.0,358.99703700000003
190.0,368.810919
200.0,362.08084099999996
210.0,358.893042
220.0,354.26254
230.0,360.389564
240.0,358.130617
250.0,4.10255746
260.0,346.48377800000003
270.0,348.006976
280.0,334.106108
290.0,326.020598
300.0,316.995606
310.0,320.602667
320.0,319.67357200000004
330.0,317.580669
340.0,308.458181
350.0,298.95003599999995
