w,v
10.0,246.426068
20.0,261.138977
30.0,270.494862
40.0,277.951952
50.0,273.209493
60.0,291.874015
70.0,289.61949500000003
80.0,304.269429
90.0,331.328173
100.0,334.229273
110.0,343.498798
120.0,355.681594
130.0,372.956426
140.0,366.58608100000004
150.0,369.791428
160.0,345.26837900000004
170.0,344.909481
180.0,343.876037
190.0,347.291401
200.0,347.755758
210.0,337.78309099999996
220.0,345.78848899999997
230.0,339.262713
240.0,335.153747
250.0,334.17753100000004
260.0,336.892054
270.0,355.528254
280.0,349.466593
290.0,338.898103
300.0,333.48625
310.0,329.35582899999997
320.0,327.82709
330.0,354.000243
340.0,297.400269
350.0,327.263161
