w,v
10.0,206.023166
20.0,243.148011
30.0,256.725115
40.0,258.171876
50.0,265.363095
60.0,271.345885
70.0,271.99314000000004
80.0,268.795483
90.0,294.831614
100.0,303.865293
110.0,312.913982
120.0,320.56120300000003
130.0,323.088876
140.0,291.75377299999997
150.0,338.397364
160.0,327.67787999999996
170.0,338.380035
180.0,320.816901
190.0,318.352194
200.0,327.932108
210.0,336.28461799999997
220.0,332.218801
230.0,325.918073
240.0,325.862017
250.0,325.162344
260.0,334.333567
270.0,328.793015
280.0,342.965311
290.0,329.41205
300.0,330.146118
310.0,329.039016
320.0,322.98902499999997
330.0,320.469277
340.0,328.47353499999997
350.0,314.66544000000005
