w,v
10.0,274.813721
20.0,272.416806
30.0,274.349781
40.0,281.390719
50.0,290.94651999999996
60.0,299.212629
70.0,318.054648
80.0,325.088411
90.0,333.318607
100.0,326.729791
110.0,326.240792
120.0,343.55561
130.0,354.238696
140.0,348.185787
150.0,345.881306
160.0,350.906832
170.0,356.22098800000003
180.0,348.736469
190.0,338.765509
200.0,348.11688499999997
210.0,362.633076
220.0,351.20384
230.0,357.593459
240.0,346.749527
250.0,351.201994
260.0,340.71390299999996
270.0,345.22798900000004
280.0,339.97277599999995
290.0,330.17238100000003
300.0,341.744063
310.0,322.873247
320.0,331.066288
330.0,320.205263
340.0,319.292124
350.0,306.832473
