w,v
10.0,237.87034500000001
20.0,253.07189699999998
30.0,261.6791
40.0,264.563741
50.0,270.536234
60.0,275.73391200000003
70.0,290.409373
80.0,312.028743
90.0,301.831314
100.0,314.915829
110.0,333.69127199999997
120.0,329.15679
130.0,332.84332
140.0,349.970344
150.0,336.669237
160.0,340.77074200000004
170.0,338.57666400000005
180.0,344.502683
190.0,339.29725
200.0,324.15601399999997
210.0,333.35877899999997
220.0,331.282203
230.0,334.946183
240.0,324.758777
250.0,337.040619
260.0,333.557184
270.0,340.695332
280.0,339.03270299999997
290.0,334.681205
300.0,339.380939
310.0,328.19799
320.0,342.162847
330.0,332.66235700000004
340.0,244.616652
350.0,312.44158300000004
