w,v
10.0,250.95231
20.0,250.96799199999998
30.0,252.84729000000002
40.0,262.04670899999996
50.0,266.88223700000003
60.0,142.066301
70.0,280.64761100000004
80.0,287.475588
90.0,287.052398
100.0,302.817357
110.0,303.568349
120.0,312.043831
130.0,316.774736
140.0,311.97783400000003
150.0,323.579994
160.0,324.430635
170.0,332.27931
180.0,330.595482
190.0,327.804611
200.0,331.211667
210.0,337.069165
220.0,339.948866
230.0,335.037715
240.0,332.37525899999997
250.0,330.918829
260.0,326.054087
270.0,329.530169
280.0,323.618467
290.0,317.179379
300.0,319.30119099999996
310.0,319.717642
320.0,314.309334
330.0,296.48291
340.0,293.000165
350.0,290.138472
