w,v
10.0,269.857929
20.0,273.360796
30.0,280.90626299999997
40.0,280.015625
50.0,286.764005
60.0,288.33456
70.0,315.167775
80.0,308.183054
90.0,326.73089300000004
100.0,336.37467799999996
110.0,335.231023
120.0,347.63856300000003
130.0,350.768279
140.0,352.64851400000003
150.0,356.556563
160.0,355.71586
170.0,358.86689
180.0,353.12582199999997
190.0,345.520231
200.0,356.201233
210.0,358.002052
220.0,356.940873
230.0,359.000963
240.0,353.330631
250.0,349.591746
260.0,348.408261
270.0,353.194882
280.0,332.832649
290.0,342.10062600000003
300.0,330.534609
310.0,328.436158
320.0,339.25158300000004
330.0,337.460038
340.0,308.54348500000003
350.0,310.00235599999996
