w,v
10.0,244.43683099999998
20.0,246.24795699999999
30.0,242.03433199999998
40.0,259.75762299999997
50.0,262.119418
60.0,267.922481
70.0,279.139906
80.0,288.854711
90.0,293.829744
100.0,315.920465
110.0,333.363879
120.0,342.27315699999997
130.0,341.165433
140.0,348.00854599999997
150.0,331.28081
160.0,322.54178
170.0,322.07464600000003
180.0,328.258411
190.0,332.771482
200.0,327.320803
210.0,324.669635
220.0,328.685035
230.0,328.02922
240.0,327.444343
250.0,325.12114399999996
260.0,331.892451
270.0,334.57270700000004
280.0,329.44525000000004
290.0,330.186469
300.0,324.68256499999995
310.0,321.597075
320.0,334.25756
330.0,339.932228
340.0,145.84999200000001
350.0,326.147794
